user_pseudo_id,predicted_value,predicted_conversion,conversion_probability_group,probability_group
551464481.1743468758,0.011,0,LOW,0-10%
2038047729.1733113762,0.004,0,LOW,0-10%
713119117.1743556691,0.001,0,LOW,0-10%
1596894796.1742723697,0.008,0,LOW,0-10%
54166768.1744162774,0.048,0,LOW,0-10%
1008006331.1744264735,0.001,0,LOW,0-10%
1029232576.1743750587,0.011,0,LOW,0-10%
1163736350.1744527180,0.001,0,LOW,0-10%
285867030.1744175234,0.004,0,LOW,0-10%
917893731.1740379201,0.002,0,LOW,0-10%
277396711.1744696641,0.001,0,LOW,0-10%
1551626271.1743699448,0.002,0,LOW,0-10%
1365639182.1737422166,0.018,0,LOW,0-10%
798245349.1743494335,0.005,0,LOW,0-10%
1716440364.1743715709,0.001,0,LOW,0-10%
688299390.1744630818,0.003,0,LOW,0-10%
1784235028.1744368218,0.003,0,LOW,0-10%
634882877.1744816284,0.041,0,LOW,0-10%
2019906361.1719304457,0.005,0,LOW,0-10%
1858507592.1646644112,0.023,0,LOW,0-10%
555667928.1716871608,0.016,0,LOW,0-10%
362594418.1740370826,0.001,0,LOW,0-10%
470557601.1742252380,0.011,0,LOW,0-10%
1680439039.1743927020,0.001,0,LOW,0-10%
1351455866.1743627239,0.001,0,LOW,0-10%
2146416170.1743209975,0.046,0,LOW,0-10%
299193062.1742518646,0.121,0,LOW,10-20%
927542427.1745318017,0.001,0,LOW,0-10%
475189998.1743584745,0.009,0,LOW,0-10%
562873265.1743646280,0.005,0,LOW,0-10%
1856142936.1742344810,0.001,0,LOW,0-10%
1380350583.1743332553,0.005,0,LOW,0-10%
952171037.1745133724,0.004,0,LOW,0-10%
607538973.1743114367,0.046,0,LOW,0-10%
1817844860.1743505733,0.001,0,LOW,0-10%
269232577.1743673831,0.014,0,LOW,0-10%
985252699.1744672419,0.07,0,LOW,0-10%
295304695.1745216243,0.002,0,LOW,0-10%
733000142.1743821082,0.004,0,LOW,0-10%
1753048512.1742771629,0.06098333333333334,0,LOW,0-10%
1250709505.1744957553,0.001,0,LOW,0-10%
653341281.1743699114,0.006,0,LOW,0-10%
929007725.1743305558,0.001,0,LOW,0-10%
1888965148.1737866803,0.046,0,LOW,0-10%
325321935.1744258308,0.039,0,LOW,0-10%
117942835.1745283948,0.024,0,LOW,0-10%
773330902.1678665052,0.0904690476190476,0,LOW,0-10%
232740278.1731037380,0.021,0,LOW,0-10%
902975726.1744862571,0.007,0,LOW,0-10%
682351025.1743994246,0.003,0,LOW,0-10%
1660836586.1744081244,0.014,0,LOW,0-10%
117672530.1744859515,0.004,0,LOW,0-10%
1182021304.1738796231,0.003,0,LOW,0-10%
116333152.1744933123,0.062,0,LOW,0-10%
928926581.1742436679,0.0832,0,LOW,0-10%
739427577.1742792894,0.001,0,LOW,0-10%
1957322325.1743813529,0.003,0,LOW,0-10%
1271863048.1744286265,0.013,0,LOW,0-10%
